Empleado,Edad,Genero,Pais,Funcion Laboral,Departamento,A�os en la Empresa,Hs de Trabajo x Semana,Trabajo Remoto,Nivel de Agotamiento,Satisfaccion Laboral,Nivel de Stres,Puntuacion de Productividad,Hs de Sue�o,Hs. De actividad Fisica,Tiempo de Viaje,Tiene apoyo para la salud Mental,Puntacion del Gerente,Tiene Acceso a Terapia,Dias libres de Salud Mental,Rango Salarial,Puntuacion de equilibrio entre vida laboral y personal,Tama�o del Equipo,Puntuacion de crecimiento personal,Riesgo de Agotamiento
1001,50,Male,UK,Sales Associate,HR,14,47,No,3.37,5.06,9.47,4.16,7,7.9,117,FALSE,3.15,TRUE,8,40K-60K,8.82,6,9.2,FALSE
1002,36,Male,Germany,Software Engineer,IT,1,59,Hybrid,7.39,2,5.65,3.74,7.2,9,8,TRUE,4.4,TRUE,4,80K-100K,2.8,45,8.46,TRUE
1003,29,Non-binary,India,IT Admin,IT,13,59,Hybrid,7.1,7.17,5.7,8.8,5.2,9.7,75,FALSE,3.63,FALSE,6,80K-100K,7.28,7,7.96,TRUE
1004,42,Male,Australia,HR Specialist,IT,15,31,Yes,4.18,3.76,6.4,4.69,8.7,5.8,43,TRUE,4.5,TRUE,9,60K-80K,1.31,11,8.9,FALSE
1005,40,Male,Brazil,Customer Support,Support,6,34,Yes,8.28,2.34,3.41,2.12,4.2,3.3,58,TRUE,5.51,TRUE,6,<40K,1.17,18,8.88,TRUE
1006,44,Prefer not to say,Germany,Project Manager,Support,3,58,Hybrid,3.12,4.81,4.45,1.09,8.5,3.2,23,TRUE,2.56,FALSE,6,40K-60K,5.06,38,4.32,FALSE
1007,32,Prefer not to say,USA,Software Engineer,Engineering,17,30,Hybrid,5.15,9.68,5.98,7.5,5.9,3.8,62,FALSE,4.54,TRUE,9,100K+,6.91,12,9.76,FALSE
1008,32,Male,Canada,Customer Support,Marketing,4,39,No,5.25,4.7,9.48,7.43,7.6,6.1,77,TRUE,4.47,FALSE,3,80K-100K,2.28,22,7.38,FALSE
1009,45,Prefer not to say,Canada,Marketing Manager,Sales,5,49,Hybrid,4.07,4.13,6.78,4.76,7.3,4.9,112,FALSE,3.57,FALSE,3,80K-100K,7.87,3,4.33,FALSE
1010,57,Prefer not to say,Brazil,Software Engineer,Engineering,6,59,Hybrid,9.59,5,4,2.14,4.8,6.5,40,TRUE,9.99,FALSE,2,60K-80K,2.16,19,4.98,TRUE
1011,45,Male,Germany,Sales Associate,Sales,14,39,Yes,7.27,1.11,1.09,4.34,5.6,0.4,75,FALSE,1.66,FALSE,3,80K-100K,5.8,43,7.18,TRUE
1012,24,Non-binary,Brazil,Data Scientist,Marketing,0,34,Hybrid,5.85,2.2,9.83,6.31,6.6,1.1,90,TRUE,6.79,TRUE,8,80K-100K,3.77,23,4.25,FALSE
1013,43,Male,Canada,HR Specialist,Support,3,47,Hybrid,5.59,8.65,5.44,7.34,8.2,9.8,73,FALSE,2.57,FALSE,4,80K-100K,7.77,34,8.44,FALSE
1014,23,Prefer not to say,India,IT Admin,Sales,0,50,Yes,2.43,9.8,9.45,1.7,8.8,10,106,FALSE,8.56,TRUE,5,60K-80K,8.24,3,2.33,FALSE
1015,45,Non-binary,Germany,Marketing Manager,IT,10,55,No,4.35,2.42,5.94,6.01,4.1,7.5,1,FALSE,9.23,TRUE,3,<40K,1.59,23,9.17,FALSE
1016,51,Female,UK,Marketing Manager,HR,17,44,Yes,7.05,5.82,6.45,3.49,5.8,2.6,94,FALSE,4.61,TRUE,0,80K-100K,2.73,49,3.71,TRUE
1017,59,Non-binary,India,Project Manager,Support,13,49,Yes,9.32,9.7,7.41,6.56,7.3,9.5,27,FALSE,8.41,FALSE,6,40K-60K,9.03,5,2.37,TRUE
1018,23,Prefer not to say,India,Software Engineer,IT,10,37,Hybrid,8.35,2.41,3.89,6.83,6.6,2.1,15,FALSE,3.25,FALSE,6,80K-100K,4.74,29,8.72,TRUE
1019,42,Non-binary,India,Project Manager,IT,9,46,Hybrid,3.7,2.68,7.29,9.2,8.7,7.3,58,FALSE,2.26,FALSE,5,80K-100K,5.29,34,3.16,FALSE
1020,54,Male,UK,Data Scientist,Marketing,16,41,No,4.91,9.34,5.74,4.69,4.1,1.2,0,FALSE,3.84,FALSE,3,40K-60K,2.51,44,8.59,FALSE
1021,33,Female,USA,Customer Support,Support,3,50,Hybrid,1.75,7.35,7.05,5.84,6.2,6.5,85,FALSE,4.08,FALSE,9,60K-80K,9.95,5,3.67,FALSE
1022,43,Female,Australia,Data Scientist,HR,14,59,No,1.92,2.37,8.52,3.41,7.3,7.6,0,TRUE,4.58,FALSE,7,100K+,9.31,29,9.4,FALSE
1023,46,Female,Brazil,Customer Support,Engineering,15,59,No,5.23,4.54,2.66,3.58,5.1,8.6,30,TRUE,4.36,FALSE,7,40K-60K,1.02,45,2.97,FALSE
1024,48,Prefer not to say,Canada,Project Manager,IT,20,56,No,5.77,1.51,6.52,1.41,7.6,7.3,21,TRUE,4.7,TRUE,0,100K+,5.96,24,1.63,FALSE
1025,49,Prefer not to say,Brazil,HR Specialist,IT,12,41,No,3.38,4.89,1.47,3.57,4.4,9.2,97,TRUE,7.39,TRUE,8,<40K,8.85,39,9.43,FALSE
1026,37,Female,Germany,Data Scientist,Sales,8,55,Hybrid,6.79,8,1.92,1.57,6.3,5.2,75,TRUE,3.21,FALSE,7,<40K,4.87,21,2.49,FALSE
1027,36,Non-binary,USA,Project Manager,Marketing,10,30,Yes,7.33,5.99,7.07,9.68,7.4,6.8,58,FALSE,1.17,FALSE,1,80K-100K,4.93,32,9.5,TRUE
1028,24,Female,Germany,Software Engineer,Engineering,10,55,Yes,3.69,6.83,1.64,6.62,5.3,3.7,118,TRUE,5.41,TRUE,8,80K-100K,4.41,43,8.42,FALSE
1029,58,Non-binary,Brazil,Project Manager,Engineering,5,55,Hybrid,7.83,3.94,6.36,2.56,4.4,0.1,86,TRUE,5.03,FALSE,3,60K-80K,1.26,5,1.74,TRUE
1030,28,Non-binary,Canada,Project Manager,Sales,0,33,Hybrid,2.85,2.45,2.98,2.05,8.8,7.6,27,TRUE,1.54,TRUE,9,100K+,8.11,18,5.01,FALSE
1031,42,Prefer not to say,UK,Sales Associate,Sales,5,37,No,5.9,1.12,3.74,4.33,8.6,8.7,115,TRUE,2.2,TRUE,5,<40K,5.11,38,1.66,FALSE
1032,30,Non-binary,Brazil,Data Scientist,Sales,12,30,Hybrid,8.24,8.39,2.17,3.77,8.6,1.7,113,FALSE,5.59,FALSE,1,<40K,5.78,35,3.97,TRUE
1033,39,Female,India,IT Admin,Support,4,56,Yes,5.83,6.73,3.24,3.51,8.9,0.3,75,FALSE,3.11,FALSE,9,80K-100K,3.3,38,4.16,FALSE
1034,25,Prefer not to say,Brazil,HR Specialist,IT,14,44,Hybrid,9.17,3.06,8.39,5.21,4.9,1.6,26,TRUE,8.9,TRUE,3,80K-100K,8.06,16,6.4,TRUE
1035,46,Male,India,HR Specialist,IT,17,47,Hybrid,1.53,4.77,6.75,9.22,4.8,9,86,TRUE,2.56,TRUE,1,60K-80K,8.14,35,9.78,FALSE
1036,35,Male,UK,Sales Associate,Engineering,19,30,No,6.29,8.21,9.55,6.11,4.2,3,0,TRUE,1.18,FALSE,8,80K-100K,5.98,24,2.53,FALSE
1037,30,Prefer not to say,Brazil,Customer Support,Support,13,40,No,6.06,5.85,1.44,5.69,8.5,2.3,106,TRUE,5.03,TRUE,8,80K-100K,9.14,36,3.96,FALSE
1038,47,Female,USA,Marketing Manager,Support,14,52,No,6.94,3.7,8.13,8.26,7.8,0.1,1,FALSE,9.88,FALSE,4,60K-80K,2.04,5,6.28,FALSE
1039,23,Male,USA,Customer Support,Support,4,31,No,8.5,3.4,7.29,1.04,7.2,3,107,FALSE,6.7,FALSE,2,80K-100K,8.08,9,2.54,TRUE
